Lambda,p,eta,alpha,eps,kB,c_damp,min_d,conv_rate,t_goal_mean,overshoot_mean,curv95_mean,bndry_comp
4,1.5,0.02,0.04920000000000001,0.1,44.64784603784674,0.8,-0.03524054966305856,0.5,16.150000000000002,0.0018797067188061115,240.61408906377054,0.14965277777777777
4,1.5,0.05,0.04920000000000001,0.1,111.61961509461685,0.8,-0.032604549449831044,0.5,17.975,0.0018792605882573948,388.30890966295584,0.10844907407407407
4,1.5,0.1,0.04920000000000001,0.1,223.2392301892337,0.8,-0.032604549449831044,0.5,19.5,0.0018785167801937028,518.1126767784812,0.08159722222222222
4,2.0,0.02,0.04920000000000001,0.1,157.8539734936718,0.8,-0.032604549449831044,0.5,18.050000000000004,0.0018789397903963055,370.10674371750235,0.14270833333333333
4,2.0,0.05,0.04920000000000001,0.1,394.63493373417947,0.8,-0.032604549449831044,0.25,19.25,0.0018773421361237938,464.93034139923793,0.11493055555555555
4,2.0,0.1,0.04920000000000001,0.1,789.2698674683589,0.8,-0.032604549449831044,0.0,inf,0.001874676115931853,365.3557943510272,0.09282407407407406
4,2.5,0.02,0.04920000000000001,0.1,558.0980754730842,0.8,-0.032604549449831044,0.25,19.5,0.001876192174951911,427.6857338447362,0.14201388888888888
4,2.5,0.05,0.04920000000000001,0.1,1395.2451886827107,0.8,-0.032604549449831044,0.0,inf,0.0018704587773833098,253.13265092793017,0.1162037037037037
4,2.5,0.1,0.04920000000000001,0.1,2790.4903773654214,0.8,-0.032604549449831044,0.0,inf,0.9750500262507413,90.76618206449596,0.10081018518518518
6,1.5,0.02,0.082,0.1,29.76523069189753,0.8,-0.03325884762660514,0.75,18.033333333333335,0.0018959458797545748,669.0415820215085,0.16435185185185186
6,1.5,0.05,0.082,0.1,74.41307672974382,0.8,-0.03325884762660514,0.5,16.325000000000003,0.0018956571185741763,362.07962659576947,0.12268518518518517
6,1.5,0.1,0.082,0.1,148.82615345948764,0.8,-0.03325884762660514,0.5,18.1,0.0018951757389521597,400.6302037085783,0.09479166666666666
6,2.0,0.02,0.082,0.1,105.23598232911345,0.8,-0.03325884762660514,0.75,17.066666666666666,0.0018954494835864192,385.15737344428123,0.15312499999999998
6,2.0,0.05,0.082,0.1,263.0899558227836,0.8,-0.03325884762660514,0.25,16.400000000000002,0.0018944156397468408,354.73298965255117,0.12430555555555556
